address,balance,total_received,total_sent,n_tx,final_balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,label,category
1Aw1EKnqeMefPBQ2gcQ915MvBscqYbiubR,0,16082306686,16082306686,105,0.0,0,105,116,41747585,277281149.7586207,0,exchange
1Aw5NyMdH7SuswTZLQbNkyyj2Ekvgjj8SL,0,106320809361,106320809361,12014,0.0,0,12014,201,81486916,424029.85074626864,1,gambling
1AwbdqqhRgw4Bd1t78RwyDLD79UbjYRcpk,0,89100000,89100000,8,0.0,0,8,8,3050916,22275000.0,0,exchange
1AWhAuYQaTrLStKczE2S8dcdKXmcsw59pA,0,5250000,5250000,2,0.0,0,2,2,761618,5250000.0,0,miner
1AwuyX7jroLGAn46SajWcWi3QqbCwYXXP2,0,47296348,47296348,14,0.0,0,14,14,5522596,6756621.142857143,0,exchange
1AWv6jZRf6rWvqLL8hbmqZpgAVzS32SQoH,0,17224664,17224664,8,0.0,0,8,8,3160759,4306166.0,0,exchange
1AX3Gwby4vHz8BVrReKDbfHi87TAkodijR,0,27552033,27552033,49,0.0,0,49,50,14477298,1102081.32,1,gambling
1AX5C7wgxyxL4WBLD1zNKTTqCB7P5kjqVe,0,1070473716,1070473716,50,0.0,0,50,50,22431115,42818948.64,0,exchange
1AX8UUN7xC315aEWQDTwYMQ5y9T6rRMSJm,0,7203611,7203611,42,0.0,0,42,42,15474963,343029.09523809527,0,miner
1AxBZfLSPzmrFhfP84MEe1jvEsceY9ywoB,0,4855560424,4855560424,131,0.0,0,131,132,50642113,73569097.33333333,0,exchange
1AxHNSsZteU5zXoq75j47GJ3UPBAnVwhzA,0,160217129,160217129,323,0.0,0,323,200,73969482,637061.82,0,services
1Axk78y3zkjnGeXECDm5hg5aiUYtGVMrBD,0,2000000,2000000,2,0.0,0,2,2,761607,2000000.0,0,exchange
1AxL8sxL75GdBejAHCzPfJbkZyAHH4JSSq,0,615030000,615030000,86,0.0,0,86,92,58728643,13370217.391304348,1,gambling
1AXLHd8kHVFoTVFxcAYj6pWN2MAAVKJTEa,0,88373858,88373858,73,0.0,0,73,74,26952549,2388482.6486486485,0,miner
1AXLVrwH1mQ5WDKF5jVZVfLRY2GkMzcv1x,54286903,96446903,42160000,3,54286903.0,0,3,3,1647741,46202301.0,0,services
1Axm53GQaZwWG2CmcJy3hh1XvJ9Tai6Y34,0,243736,243736,2,0.0,0,2,2,763384,243736.0,0,exchange
1Ay54j9rdx2bDeUuqecVEtM97ezazK8hTB,0,222846284,222846284,251,0.0,0,251,200,91381238,1533282.84,1,gambling
1AY7dzPsrL1LNz8KuFJoBeXn4BTdwLCxRE,0,13613810,13613810,4,0.0,0,4,4,1519775,6806905.0,0,exchange
1AYDRJiAKq23o2NL3dtaTYfB1a3gasodTq,0,61091493,61091493,24,0.0,0,24,24,7220581,5090957.75,0,miner
1AYFoX5q1GFFxVyQVS4zpAqhjLVkwNVDpt,0,158519389,158519389,2,0.0,0,2,2,1005894,158519389.0,0,coinjoin-like
1AYgksP9bkbVJZy6yfvC182FLun2exa1ad,0,28550500,28550500,1131,0.0,0,1131,200,99903049,59743.0,1,gambling
1AyjX3LrYCVeYyK98c9hzU13p1VJgELCqm,0,2041889386,2041889386,14,0.0,0,14,14,4837225,291698483.71428573,0,miner
1Ayoq1wAfBbyDq8SfngVsWccRK3XmuExYQ,0,1136000,1136000,6,0.0,0,6,6,2286522,378666.6666666667,0,miner
1Aypkgc7QZxyRnQdPTuBGsLh7yHc5bjmpX,0,672300000,672300000,21,0.0,0,21,22,8435311,61118181.81818182,0,miner
1AYTLmCHUBLPGYssyj64ka9jdkSAypobXq,0,68315299,68315299,7,0.0,0,7,8,4065504,17078824.75,0,services
1AYtNkzyPcJoLXW2XT9Rf87XKUyKSiE8UE,0,510854,510854,2,0.0,0,2,2,762592,510854.0,0,services
1AYvJrKtHRwep2gzA9TGaSLzcrBdZUEi2K,0,81795772900,81795772900,28,0.0,0,28,28,12846613,5842555207.142858,0,exchange
1AYYAyE2RU9CfcikqxTf6hSsBJQsUQVYEx,0,6266142,6266142,2,0.0,0,2,2,761617,6266142.0,0,exchange
1AyYds5bPLGK6PB1zq7uB5gkNZiLK24WXS,0,2064785,2064785,2,0.0,0,2,2,761710,2064785.0,0,services
1AZ31fjdvAL2tLMKcn4UkMqxVXP5RDNAra,0,10027992,10027992,7,0.0,0,7,8,3045285,2506998.0,0,exchange
1AZbCwSMWo6UfAvcCHgunH6z5d865MaNyd,0,1829770000,1829770000,334,0.0,0,334,200,87764132,6671700.0,1,gambling
1AZbtuXKvaiTunCDfExcYju73H7bBquR18,0,36621102,36621102,10,0.0,0,10,10,3238516,7324220.4,0,exchange
1AzE4uCQETs3cyPq2Z7WoRFh9Gaej91ZpJ,0,6399832,6399832,8,0.0,0,8,8,3071757,1599958.0,0,miner
1AZN7cH2Wtiq5dpCRQ9hAyywnesnXga4tb,0,71845334,71845334,16,0.0,0,16,16,4669032,8980666.75,0,miner
1AZNQ4HvRz4M2RTVJ6pCZnRocgyZnEfG25,0,66448518,66448518,12,0.0,0,12,12,4552297,11074753.0,0,exchange
1AzPkyqmf4MpQFTBD2Q5wgBMjUQbuFFmh4,1638,933772483,933770845,80,1638.0,0,80,81,31255529,23056090.4691358,0,exchange
1AzRSNonntkcRQF2dE7Gn3vM7uWJ3dB3Zo,0,183635083,183635083,14,0.0,0,14,14,5331873,26233583.285714287,0,miner
