address,balance,total_received,total_sent,n_tx,final_balance,unconfirmed_balance,final_n_tx,num_txrefs,total_confirmations,avg_tx_value,label,category
12FHzh6W4MbLANPbVUDifKNk2t3zsnzktD,0,7632956,7632956,10,0,0,10,10,3955326,1526591.2,0,miner
12fJcjmL59X6pxAV1n5rS9o2QH6irTNUC9,0,7077025,7077025,2,0,0,2,2,760990,7077025.0,0,miner
12FjquQKTq46mxeyZChkwcoxyjR9T9WKk8,0,392624,392624,10,0,0,10,10,3777320,78524.8,0,miner
12foBgujnP74UfdQ9mwYeryFfYPqu5K2wk,0,14920675,14920675,8,0,0,8,8,3041018,3730168.75,0,exchange
12fV8v8pXxufuMELFQji7jNG8Hjxy5M1LQ,0,74928117,74928117,16,0,0,16,16,6202794,9366014.625,0,exchange
12fwXdtUCdouxvfwgfvXdc5fjkEjeHDC16,0,29852791,29852791,10,0,0,10,10,3806693,5970558.2,0,miner
12fXKbGW4hhtgkVRTe65RNVQwAUTs7KceB,0,31241089,31241089,10,0,0,10,10,3859570,6248217.8,0,miner
12G3UqUgqHXbsrwKMsXm5Hmt2KS2tnz8gu,0,6071702404,6071702404,128,0,0,128,134,79817996,90622423.94029851,0,coinjoin-like
12GAbZLrxRLGc93ZsmMSAGQshnQRv8y43U,0,14580802,14580802,2,0,0,2,2,1005277,14580802.0,0,coinjoin-like
12GAff44SgAdsK2KDGVAUhoUfp1jzqtSgH,0,414900,414900,2,0,0,2,2,762026,414900.0,0,services
12gEUkQh7kmgK9ykwFU3wg1AphHQBapmxy,0,1059275959,1059275959,50,0,0,50,50,18332716,42371038.36,0,miner
12gevzaS6euJUD7GXBEzDg6izREdKwJpfd,0,119592934,119592934,12,0,0,12,12,4152609,19932155.666666668,0,miner
12gHbc6mKdBhBrRkESa52Cw23eJ89761xk,0,25432730,25432730,335,0,0,335,200,71398300,126174.02,0,services
12giwZhVP9wLHVv1ZKuUzLYQgJZJ6Svkw3,0,148937546,148937546,6,0,0,6,6,2288131,49645848.666666664,0,exchange
12gmtok5wtVpzyWrjmqCzNGEhP1nfq78Ty,0,299951092,299951092,6,0,0,6,6,2344177,99983697.33333333,0,exchange
12GPQKGe1Fi4a8ymFxsKW47uoUZfkUoTYE,0,17854428,17854428,14,0,0,14,14,5027484,2550632.5714285714,0,miner
12gQ3ufFZzh6nhH8HbLbderVavr6TyyeMu,0,143110200,143110200,10,0,0,10,10,3911633,28622040.0,0,miner
12Gs2e1LVuiiQxm8q9fEXpCCzjoUHNz1ha,0,92454923,92454923,18,0,0,18,20,6765491,9245492.3,1,gambling
12gWRbsWE9X9gqq7aYbjvahjJV3fxECUbw,0,48996019,48996019,191,0,0,191,194,100115796,505113.59793814435,1,gambling
12GyS8eMA7KoqtAs1rQKgAVCZXU8ZBSJct,0,2526090257,2526090257,82,0,0,82,82,34901662,61611957.487804875,0,exchange
12HAQTFh14vvPjMRWuELvm3gEoHBdXeTLS,0,57574320,57574320,16,0,0,16,16,6106866,7196790.0,0,exchange
12hg7tUb783uLEkDKaYHnUA1xaGprCoH1n,0,1594590000,1594590000,124,0,0,124,170,84116751,18759882.352941178,0,coinjoin-like
12HhC1RLu2borKKgu7p579JbvMbDHWs9Gk,0,41353153,41353153,20,0,0,20,20,7753992,4135315.3,0,miner
12HKk1kNavhVYe1nkfr4gsAfrqsS9iS4ef,0,3228059,3228059,8,0,0,8,8,3077044,807014.75,0,miner
12hL3bcCpP9xHCxcunTSsQsqTiMXiojpaq,0,1103611,1103611,2,0,0,2,2,761002,1103611.0,0,miner
12hmsDiEGmABMhGK97VMiXiC9w3axPNTZA,0,583965676,583965676,747,0,0,747,200,100338383,989019.6,1,gambling
12HpCGW4MeaEDSJRJ5gQWbP3pHRjfxH7jF,0,6500941,6500941,4,0,0,4,4,1528628,3250470.5,0,miner
12hrYvpRxKjC1TZm71aE38AgoxPfrew3Wv,0,92450373,92450373,153,0,0,153,200,106004393,847141.87,1,gambling
12hSWDKEyro1DUxRtf5fqBH4W113APqqHo,0,649960000,649960000,2,0,0,2,2,1005268,649960000.0,0,coinjoin-like
12hwbHadmZwyTGH4H4VfL4654JpYFN7rvZ,0,2050000,2050000,2,0,0,2,2,1005290,2050000.0,0,coinjoin-like
12i6Y6TZsmbFPJiQr6UXqTqmkL5j2FCXD3,0,372577385919,372577385919,268,0,0,268,200,104018993,2519391165.49,0,mining_pool
12igCGv9fZ7NgRtQN9UNMUxHfVu1f9gxEg,0,14386498,14386498,14,0,0,14,14,5393400,2055214.0,0,miner
12imkY98wZonmJf53Non4M5EbUvCJgDKYM,0,529238470,529238470,24,0,0,24,24,9209516,44103205.833333336,0,miner
12JCgQ32uqUe1CDzkrps1aQ1NiKVJjvG7M,0,183383077,183383077,36,0,0,36,36,13769263,10187948.722222222,0,miner
12Jh689uWFRAtgoxgfN3yob1HeS9HagW45,0,30112878,30112878,31,0,0,31,36,12187631,1672937.6666666667,1,gambling
12jJGi4nqBknpLnKp6yKqZs8EtJM2sUXCT,0,100000000,100000000,3,0,0,3,4,1525065,50000000.0,0,exchange
12JkUzK76GSLmWf324XCkeVWuYuGcaAKer,334056,334056,0,1,334056,0,1,1,380496,334056.0,0,miner
12joQqKBBmAqMQWZTf4iQCw3dPXLX7CA2s,0,86612314,86612314,20,0,0,20,20,7149014,8661231.4,0,exchange
12jrbZ7GSc6qixU2GS8eNy5yjjBGSwEv4c,0,59208211,59208211,5,0,0,5,6,3160708,19736070.333333332,0,services
12jRcZg3H4b3T5UM28Wi85LDsxtAN1mrMf,0,12044581340,12044581340,330,0,0,330,201,78399589,84594336.26865672,0,exchange
12JYmnfYU2ghzjwUAspzJsSnmJtK9bZPYR,0,17996304564,17996304564,260252,0,0,260252,201,46348000,1108640.3383084578,0,services
12JZHBQgQ7cREhhaXpqYJzVt8xKXX97JbF,0,6224807,6224807,71,0,0,71,78,30041074,159610.4358974359,0,miner
12kGPZ75fx2VujWuKzaJzhxUHgb1brAcDR,0,48036250,48036250,50,0,0,50,50,19458383,1921450.0,0,miner
